Current Period,Customer ID,Periods Active,Current Customer (Y/N),Period Acquired,Period Terminated,Acquisition Channel,Sector,Referred (Y/N),Premium (Y/N),Region,Co. Age,Size,No. Maker Contracts,No. Advanced Contracts,"Revenue, Total",Maker Revenue,Advanced Revenue,Expected CLV
9,1434,1,N,-5,-4,Outsourced,Automotive,N,N,Northeast,0-5yrs,Medium,1,1,50000,21000,29000,113907
9,1435,4,N,-5,-1,Outsourced,Automotive,N,N,West,6-10yrs,Small,0,0,0,0,0,32712
9,1436,2,N,-5,-3,Outsourced,Automotive,N,N,West,0-5yrs,Medium,1,0,21000,21000,0,86423
9,1437,3,N,-5,-2,Outsourced,Automotive,N,N,Southeast,10+yrs,Small,1,0,21000,21000,0,53079
9,1438,2,N,-5,-3,Outsourced,Automotive,N,N,Southwest,0-5yrs,Small,0,1,29000,0,29000,58955
9,1439,1,N,-5,-4,Outsourced,Automotive,N,N,Southwest,10+yrs,Small,2,0,42000,42000,0,89442
9,1440,1,N,-5,-4,Internal,Automotive,N,N,Southwest,6-10yrs,Small,0,0,0,0,0,51370
9,1441,1,N,-5,-4,Internal,Automotive,N,N,Northeast,10+yrs,Small,0,1,29000,0,29000,44546
9,1442,1,N,-5,-4,Internal,Automotive,N,N,Midwest,6-10yrs,Small,1,0,21000,21000,0,64692
9,1443,2,N,-5,-3,Internal,Automotive,N,N,Northeast,10+yrs,Large,0,0,0,0,0,4425
9,1444,1,N,-5,-4,Internal,Automotive,N,N,West,6-10yrs,Large,1,1,50000,21000,29000,99080
9,1445,1,N,-5,-4,Internal,Automotive,N,N,Southeast,6-10yrs,Medium,1,0,21000,21000,0,25477
9,1473,1,N,-4,-3,Outsourced,Automotive,N,N,Southeast,0-5yrs,Medium,0,0,0,0,0,5133
9,1474,1,N,-4,-3,Outsourced,Automotive,N,N,Southwest,0-5yrs,Small,0,1,29000,0,29000,123093
9,1475,1,N,-4,-3,Outsourced,Automotive,N,N,West,0-5yrs,Medium,2,0,42000,42000,0,113668
9,1476,1,N,-4,-3,Outsourced,Automotive,N,N,Midwest,0-5yrs,Small,1,0,21000,21000,0,51441
9,1477,1,N,-4,-3,Outsourced,Automotive,N,N,Northeast,10+yrs,Small,1,1,50000,21000,29000,76543
9,1478,2,N,-4,-2,Outsourced,Automotive,N,N,Midwest,0-5yrs,Medium,1,0,21000,21000,0,79679
9,1479,5,N,-4,1,Outsourced,Automotive,N,N,Southeast,0-5yrs,Small,1,0,21000,21000,0,51223
9,1480,1,N,-4,-3,Outsourced,Automotive,N,N,Southeast,0-5yrs,Small,1,1,50000,21000,29000,54633
9,1481,3,N,-4,-1,Outsourced,Automotive,N,N,Southeast,6-10yrs,Small,0,0,0,0,0,16754
9,1482,1,N,-4,-3,Outsourced,Automotive,N,N,Midwest,6-10yrs,Small,2,0,42000,42000,0,494028
9,1483,1,N,-4,-3,Outsourced,Automotive,N,N,Southeast,0-5yrs,Small,0,2,58000,0,58000,297342
9,1484,3,N,-4,-1,Outsourced,Automotive,N,N,Southwest,10+yrs,Medium,0,2,58000,0,58000,64704
9,1485,3,N,-4,-1,Outsourced,Automotive,N,N,Northeast,0-5yrs,Small,1,2,79000,21000,58000,123925
9,1486,1,N,-4,-3,Outsourced,Automotive,N,N,West,0-5yrs,Large,0,0,0,0,0,91194
9,1487,1,N,-4,-3,Outsourced,Automotive,N,N,Southwest,0-5yrs,Medium,0,0,0,0,0,1645
9,1488,1,N,-4,-3,Outsourced,Automotive,N,N,Midwest,0-5yrs,Small,1,0,21000,21000,0,45103
9,1489,1,N,-4,-3,Outsourced,Automotive,N,N,Southwest,10+yrs,Small,0,0,0,0,0,86633
9,1490,1,N,-4,-3,Outsourced,Automotive,N,N,Midwest,0-5yrs,Small,2,0,42000,42000,0,71917
9,1491,1,N,-4,-3,Outsourced,Automotive,N,N,West,6-10yrs,Small,0,2,58000,0,58000,75198
9,1492,1,N,-4,-3,Outsourced,Automotive,N,N,Midwest,6-10yrs,Small,0,1,29000,0,29000,30260
9,1493,1,N,-4,-3,Outsourced,Automotive,N,N,Northeast,10+yrs,Small,4,0,84000,84000,0,104409
9,1494,1,N,-4,-3,Outsourced,Automotive,N,N,Midwest,0-5yrs,Small,3,1,92000,63000,29000,0
9,1495,1,N,-4,-3,Outsourced,Automotive,N,N,Midwest,10+yrs,Small,1,0,21000,21000,0,57501
9,1496,3,N,-4,-1,Outsourced,Automotive,N,N,Southeast,0-5yrs,Large,0,0,0,0,0,14440
9,1497,1,N,-4,-3,Outsourced,Automotive,N,N,Midwest,10+yrs,Small,0,1,29000,0,29000,173839
9,1498,3,N,-4,-1,Outsourced,Automotive,N,N,Midwest,10+yrs,Small,0,0,0,0,0,16201
9,1499,2,N,-4,-2,Outsourced,Automotive,N,N,Southeast,6-10yrs,Small,0,2,58000,0,58000,91827
9,1500,2,N,-4,-2,Outsourced,Automotive,N,N,Midwest,0-5yrs,Medium,2,2,100000,42000,58000,57895
9,1501,4,N,-4,0,Outsourced,Automotive,N,N,Northeast,0-5yrs,Small,0,0,0,0,0,54754
9,1502,3,N,-4,-1,Outsourced,Automotive,N,N,West,0-5yrs,Large,0,0,0,0,0,27749
9,1503,1,N,-4,-3,Outsourced,Automotive,N,N,Southeast,10+yrs,Small,1,0,21000,21000,0,72015
9,1504,1,N,-4,-3,Outsourced,Automotive,N,N,West,0-5yrs,Medium,1,0,21000,21000,0,32455
9,1505,1,N,-4,-3,Outsourced,Automotive,N,N,Northeast,0-5yrs,Small,0,1,29000,0,29000,24104
9,1506,1,N,-4,-3,Outsourced,Automotive,N,N,West,0-5yrs,Medium,0,0,0,0,0,32581
9,1507,2,N,-4,-2,Outsourced,Automotive,N,N,West,0-5yrs,Small,1,0,21000,21000,0,81632
9,1508,2,N,-4,-2,Outsourced,Automotive,N,N,Southwest,0-5yrs,Small,0,1,29000,0,29000,1009
9,1509,1,N,-4,-3,Outsourced,Automotive,N,N,Southwest,0-5yrs,Small,1,0,21000,21000,0,94630
9,1510,1,N,-4,-3,Outsourced,Automotive,N,N,Southwest,6-10yrs,Medium,0,0,0,0,0,43387
9,1511,1,N,-4,-3,Outsourced,Automotive,N,N,Midwest,0-5yrs,Small,4,0,84000,84000,0,46083
9,1512,3,N,-4,-1,Outsourced,Automotive,N,N,Southeast,6-10yrs,Large,1,0,21000,21000,0,10937
9,1513,2,N,-4,-2,Internal,Automotive,N,N,West,10+yrs,Small,1,0,21000,21000,0,42415
9,1514,2,N,-4,-2,Internal,Automotive,N,N,West,10+yrs,Small,1,0,21000,21000,0,0
9,1515,1,N,-4,-3,Internal,Automotive,N,N,Southeast,10+yrs,Small,0,0,0,0,0,69093
9,1516,1,N,-4,-3,Internal,Automotive,N,N,Southwest,6-10yrs,Small,0,0,0,0,0,1455
9,1517,5,N,-4,1,Internal,Automotive,N,N,Southeast,0-5yrs,Medium,1,0,21000,21000,0,5513
